year;ric;effect
2012;TEX;negative
2001;SKY;negative
2002;SKY;negative
2003;SKY;negative
2004;SKY;negative
2018;IBP;negative
2017;HCSG.O;negative
2018;HCSG.O;negative
2016;WD;negative
2017;WD;negative
2018;WD;negative
2002;MWA;negative
2003;MWA;negative
2004;MWA;negative
2005;MWA;negative
2002;MWA;negative
2003;MWA;negative
2004;MWA;negative
2002;PBH;negative
2003;PBH;negative
2004;PBH;negative
2005;PBH;negative
2004;PBH;negative
2005;PBH;negative
2011;PBH;negative
2012;PBH;negative
2013;PBH;negative
2013;PBH;negative
2016;PBH;negative
1995;PRGS.O;negative
1996;PRGS.O;negative
1997;PRGS.O;negative
1998;PRGS.O;negative
1999;PRGS.O;negative
2000;PRGS.O;negative
2001;PRGS.O;negative
2002;PRGS.O;negative
2003;PRGS.O;negative
2004;PRGS.O;negative
2005;PRGS.O;negative
2006;PRGS.O;negative
2018;IRTC.O;negative
2019;IRTC.O;negative
1997;FIBK.O;negative
1998;FIBK.O;negative
1999;FIBK.O;negative
2004;KAMN.K;negative
2005;KAMN.K;negative
2006;KAMN.K;negative
2007;KAMN.K;negative
2012;BMCH.O;negative
2013;BMCH.O;negative
2012;CSGS.O;negative
2013;CSGS.O;negative
2014;CSGS.O;negative
2009;PZZA.O;negative
2010;PZZA.O;negative
2011;PZZA.O;negative
2012;PZZA.O;negative
2018;PZZA.O;negative
2005;LZB;negative
2006;LZB;negative
2007;LZB;negative
2008;LZB;negative
2009;LZB;negative
2007;AIMC.O;negative
2009;NTCT.O;negative
2010;NTCT.O;negative
2011;NTCT.O;negative
2012;NTCT.O;negative
2013;NTCT.O;negative
2014;NTCT.O;negative
2015;NTCT.O;negative
1998;PTEN.O;negative
1999;PTEN.O;negative
2000;PTEN.O;negative
2001;PTEN.O;negative
2002;PTEN.O;negative
2003;PTEN.O;negative
2004;PTEN.O;negative
2005;PTEN.O;negative
2004;AYR;negative
2005;AYR;negative
2006;AYR;negative
2007;AYR;negative
2008;AYR;negative
2018;PS.O;negative
2019;PS.O;negative
2015;BOFI.O;negative
2016;BOFI.O;negative
2017;BOFI.O;negative
2018;BOFI.O;negative
2019;IDCC.O;negative
2014;USPH.K;negative
2015;USPH.K;negative
2016;USPH.K;negative
2013;GNL;negative
2014;GNL;negative
2002;GPI;negative
2003;GPI;negative
2004;GPI;negative
2005;GPI;negative
2009;GPI;negative
2010;GPI;negative
2011;GPI;negative
2014;GPI;negative
2008;MINI.O;negative
2009;MINI.O;negative
2010;MINI.O;negative
2011;MINI.O;negative
2012;MINI.O;negative
2000;PDCE.O;negative
2001;PDCE.O;negative
2002;PDCE.O;negative
2003;PDCE.O;negative
2004;PDCE.O;negative
2005;PDCE.O;negative
2001;PDCE.O;negative
2002;PDCE.O;negative
2003;PDCE.O;negative
2004;PDCE.O;negative
2005;PDCE.O;negative
2019;PDCE.O;negative
2010;EPC;negative
2011;EPC;negative
2012;EPC;negative
2011;EPC;negative
2012;EPC;negative
2015;EPC;negative
2018;EPC;negative
2019;EPC;negative
2013;CSII.O;negative
2014;CSII.O;negative
2015;CSII.O;negative
2003;SCS;negative
2004;SCS;negative
2011;SCS;negative
2012;SCS;negative
2013;TSE;negative
2006;BGCP.O;negative
2007;BGCP.O;negative
2001;EAT;negative
2002;EAT;negative
2003;EAT;negative
2004;EAT;negative
2014;EAT;negative
2015;EAT;negative
2016;EAT;negative
2013;EAT;negative
2014;EAT;negative
1998;CVGW.O;negative
1999;CVGW.O;negative
2000;CVGW.O;negative
2004;CVGW.O;negative
2005;CVGW.O;negative
2014;CVGW.O;negative
2011;CVGW.O;negative
2012;CVGW.O;negative
2013;CVGW.O;negative
2014;CVGW.O;negative
2011;WK;negative
2012;WK;negative
2013;WK;negative
2014;WK;negative
2013;WK;negative
2006;MMSI.O;negative
2007;MMSI.O;negative
2008;MMSI.O;negative
2011;MMSI.O;negative
2009;KALU.O;negative
2010;KALU.O;negative
2011;KALU.O;negative
2012;KALU.O;negative
2011;INSM.O;negative
2012;INSM.O;negative
2014;CPK;negative
2015;CPK;negative
2016;CPK;negative
2017;CPK;negative
1999;HUBG.O;negative
2000;HUBG.O;negative
2001;HUBG.O;negative
2011;HUBG.O;negative
2000;SHEN.O;negative
2003;SHEN.O;negative
2004;SHEN.O;negative
2005;SHEN.O;negative
2007;SHEN.O;negative
2008;SHEN.O;negative
2007;SHEN.O;negative
2015;SHEN.O;negative
2016;SHEN.O;negative
2010;PRK;negative
2011;PRK;negative
2010;PRK;negative
2011;PRK;negative
2011;OCLR.O;negative
2003;USNA.K;negative
2004;USNA.K;negative
2005;USNA.K;negative
2006;USNA.K;negative
2007;USNA.K;negative
2008;USNA.K;negative
2013;HNI;negative
2013;SAFT.O;negative
2014;SAFT.O;negative
2007;PCRX.O;negative
2008;PCRX.O;negative
2009;PCRX.O;negative
2008;APAM.K;negative
2009;APAM.K;negative
2010;APAM.K;negative
2011;APAM.K;negative
2011;MATX.K;negative
2012;MATX.K;negative
2015;MATX.K;negative
2016;MATX.K;negative
2017;MATX.K;negative
2006;DDS;negative
2007;DDS;negative
1999;BTU;negative
2013;BTU;negative
2014;BTU;negative
2015;BTU;negative
2016;BTU;negative
2017;BTU;negative
2014;MTSI.O;negative
2015;MTSI.O;negative
1994;HRTX.O;negative
1995;HRTX.O;negative
1996;HRTX.O;negative
1997;HRTX.O;negative
1998;HRTX.O;negative
1999;HRTX.O;negative
2004;MGLN.O;negative
2005;MGLN.O;negative
1999;MGLN.O;negative
2008;SPWR.O;negative
2009;SPWR.O;negative
2002;ATU;negative
2003;ATU;negative
2004;ATU;negative
2005;ATU;negative
2006;ATU;negative
2008;ATU;negative
2009;ATU;negative
2010;BHLB.K;negative
2011;BHLB.K;negative
2004;WGO;negative
2005;WGO;negative
2010;SPH;negative
2011;SPH;negative
2008;GRPN.O;negative
2009;GRPN.O;negative
2010;GRPN.O;negative
2011;GRPN.O;negative
2013;OI;negative
2014;OI;negative
2015;OI;negative
2016;GVA;negative
2003;RMBS.O;negative
2004;RMBS.O;negative
2005;RMBS.O;negative
2006;RMBS.O;negative
2010;RMBS.O;negative
1996;GTN;negative
1997;GTN;negative
1998;GTN;negative
1999;GTN;negative
2000;GTN;negative
2012;MDXG.O;negative
2013;MDXG.O;negative
2014;MDXG.O;negative
2015;MDXG.O;negative
2016;MDXG.O;negative
2017;MDXG.O;negative
2011;MIK.O;negative
2012;MIK.O;negative
2013;MIK.O;negative
2013;MTOR.K;negative
2014;MTOR.K;negative
2015;MTOR.K;negative
2001;CRAY.O;negative
2002;CRAY.O;negative
2004;CRAY.O;negative
2005;NRC.O;negative
2006;NRC.O;negative
2010;BKD;negative
2004;AVAV.O;negative
2005;AVAV.O;negative
2006;AVAV.O;negative
2000;RCII.O;negative
2001;RCII.O;negative
2011;RCII.O;negative
2012;RCII.O;negative
2013;RCII.O;negative
2010;RCII.O;negative
2011;RCII.O;negative
2012;RCII.O;negative
2013;RCII.O;negative
2014;RCII.O;negative
2015;RCII.O;negative
2016;RCII.O;negative
2004;CRK;negative
1998;CRK;negative
1999;CRK;negative
2000;CRK;negative
2001;CRK;negative
2015;CORE.O;negative
2017;CORE.O;negative
1999;FORM.O;negative
2000;FORM.O;negative
2001;FORM.O;negative
2002;FORM.O;negative
2003;FORM.O;negative
2004;FORM.O;negative
2001;FORM.O;negative
2002;FORM.O;negative
2003;FORM.O;negative
2004;FORM.O;negative
2006;FORM.O;negative
2007;FORM.O;negative
2012;FORM.O;negative
2002;ECOL.O;negative
2009;SUPN.O;negative
2014;SUPN.O;negative
2015;SUPN.O;negative
2016;SUPN.O;negative
2017;MDP;negative
2018;MDP;negative
2006;HURN.O;negative
2007;HURN.O;negative
2008;HURN.O;negative
2009;HURN.O;negative
2011;HURN.O;negative
2012;HURN.O;negative
2013;HURN.O;negative
2002;CRVL.O;negative
2003;CRVL.O;negative
2004;CRVL.O;negative
2005;CRVL.O;negative
2006;CRVL.O;negative
2011;STFC.O;negative
2012;STFC.O;negative
2013;STFC.O;negative
2014;STFC.O;negative
2015;STFC.O;negative
2016;STFC.O;negative
2017;STFC.O;negative
2018;STFC.O;negative
2014;UNIT.O;negative
2015;UNIT.O;negative
2015;UNIT.O;negative
2016;UNIT.O;negative
2014;ALG;negative
2012;HSC;negative
2013;HSC;negative
2014;HSC;negative
2012;GCP;negative
2013;GCP;negative
2014;GCP;negative
2015;GCP;negative
2008;EIG;negative
2009;EIG;negative
2010;EIG;negative
2011;EIG;negative
2012;EIG;negative
2012;SKT;negative
1993;SKT;negative
1994;SKT;negative
1995;SKT;negative
1996;SKT;negative
1997;SKT;negative
2014;SKT;negative
2002;VVI;negative
1998;VVI;negative
1999;VVI;negative
2000;VVI;negative
2002;PLCE.O;negative
2003;PLCE.O;negative
2004;PLCE.O;negative
2003;PLCE.O;negative
2004;PLCE.O;negative
2005;PLCE.O;negative
2006;PLCE.O;negative
2004;PLCE.O;negative
2005;PLCE.O;negative
2010;NPO;negative
2011;NPO;negative
2012;NPO;negative
2013;NPO;negative
2011;NPO;negative
2012;NPO;negative
2013;NPO;negative
2014;NPO;negative
2018;NPO;negative
2015;MDGL.O;negative
2016;MDGL.O;negative
2006;TRS.O;negative
2004;TRS.O;negative
1998;DENN.O;negative
1999;DENN.O;negative
2000;DENN.O;negative
2001;DENN.O;negative
2002;DENN.O;negative
2003;DENN.O;negative
2004;DENN.O;negative
2007;DENN.O;negative
2006;DENN.O;negative
2007;DENN.O;negative
2008;DENN.O;negative
2004;THRM.O;negative
1999;THRM.O;negative
2013;GTY;negative
2016;SWCH.K;negative
2017;SWCH.K;negative
2010;OPK.O;negative
2004;SHLM.O;negative
2005;SHLM.O;negative
2006;SHLM.O;negative
2007;SHLM.O;negative
2008;SHLM.O;negative
2018;DCPH.O;negative
2015;IRT;negative
2000;OII;negative
2001;OII;negative
2014;CNDT.K;negative
2015;CNDT.K;negative
2010;IRWD.O;negative
2006;CTB;negative
2007;CTB;negative
2008;CTB;negative
2009;CTB;negative
2010;CTB;negative
2004;WEB.O;negative
2012;WEB.O;negative
2014;WEB.O;negative
2015;WEB.O;negative
2016;WEB.O;negative
2006;NTRI.O;negative
2007;NTRI.O;negative
2013;MTRN.K;negative
2011;MTRN.K;negative
2012;MTRN.K;negative
2013;MTRN.K;negative
2014;MTRN.K;negative
2015;MTRN.K;negative
2010;FCF;negative
2007;FCF;negative
2008;FCF;negative
2014;GMS;negative
2015;GMS;negative
2016;GMS;negative
2017;GMS;negative
2004;SBCF.O;negative
2004;STAA.O;negative
2005;STAA.O;negative
2006;STAA.O;negative
1999;SVU;negative
2000;SVU;negative
2001;SVU;negative
2002;SVU;negative
2013;SVU;negative
2014;SVU;negative
2015;SVU;negative
2016;SVU;negative
1998;TNC;negative
1999;TNC;negative
2000;TNC;negative
2001;TNC;negative
2002;TNC;negative
2017;TNC;negative
2018;TNC;negative
2003;SYKE.O;negative
2004;SYKE.O;negative
2005;SYKE.O;negative
1998;SYKE.O;negative
1999;SYKE.O;negative
2000;SYKE.O;negative
1998;SYKE.O;negative
1999;SYKE.O;negative
2000;SYKE.O;negative
1999;SYKE.O;negative
2015;RAVN.O;negative
2016;RAVN.O;negative
2010;AROC.K;negative
2011;AROC.K;negative
2013;AROC.K;negative
2014;AROC.K;negative
2015;AROC.K;negative
2002;BGS;negative
2003;BGS;negative
2005;HA.O;negative
2002;MNTA.O;negative
2008;MEI;negative
2011;ABR;negative
2012;ABR;negative
2013;ABR;negative
2014;ABR;negative
2013;REV;negative
2002;SCHL.O;negative
2003;SCHL.O;negative
2004;SCHL.O;negative
2004;SCHL.O;negative
2005;SCHL.O;negative
2006;SCHL.O;negative
2007;SCHL.O;negative
2008;SCHL.O;negative
2012;GDOT.K;negative
2014;GIII.O;negative
2015;GIII.O;negative
2007;CASH.O;negative
2008;CASH.O;negative
2008;CASH.O;negative
2009;CASH.O;negative
2010;CASH.O;negative
2016;CASH.O;negative
2015;CASH.O;negative
2016;CASH.O;negative
1998;ARCH.K;negative
1999;ARCH.K;negative
2006;ATSG.O;negative
2007;ATSG.O;negative
1996;EBIX.O;negative
1997;EBIX.O;negative
1998;EBIX.O;negative
1999;EBIX.O;negative
2011;BCC;negative
2012;BCC;negative
2013;BCC;negative
2010;KNL;negative
2011;KNL;negative
2012;KNL;negative
2013;KNL;negative
2005;PRFT.O;negative
2006;PRFT.O;negative
2007;PRFT.O;negative
2013;TMP;negative
2013;CHEF.O;negative
2014;INN;negative
2002;SASR.O;negative
1992;EFII.O;negative
1993;EFII.O;negative
1994;EFII.O;negative
1995;EFII.O;negative
1996;EFII.O;negative
1997;EFII.O;negative
1998;EFII.O;negative
1999;EFII.O;negative
2000;EFII.O;negative
2001;EFII.O;negative
2002;EFII.O;negative
2003;EFII.O;negative
2004;EFII.O;negative
2005;EFII.O;negative
2006;EFII.O;negative
2011;EFII.O;negative
2015;EFII.O;negative
2016;EFII.O;negative
2017;EFII.O;negative
1997;MSTR.O;negative
1998;MSTR.O;negative
1999;MSTR.O;negative
2016;OCFC.O;negative
2000;MED;negative
2003;MED;negative
2004;MED;negative
2005;MED;negative
2006;MED;negative
2007;MED;negative
2006;MED;negative
2007;MED;negative
2008;MED;negative
2008;MED;negative
2009;MED;negative
2003;CPLA.O;negative
2004;CPLA.O;negative
2005;CPLA.O;negative
2011;HRI;negative
2012;HRI;negative
2013;HRI;negative
2005;HRI;negative
2010;HRI;negative
2011;HRI;negative
2012;HRI;negative
2013;HRI;negative
2006;HRI;negative
2007;HRI;negative
2008;HRI;negative
2009;HRI;negative
2010;HRI;negative
2014;HRI;negative
2015;HRI;negative
2015;HRI;negative
2016;HRI;negative
2016;HRI;negative
2013;RDUS.O;negative
1999;GES;negative
2015;GES;negative
2016;GES;negative
2017;GES;negative
2013;PARR.K;negative
2013;PARR.K;negative
2014;PARR.K;negative
2003;SWM;negative
2004;SWM;negative
2005;SWM;negative
2006;SWM;negative
2002;SBSI.O;negative
2004;SBSI.O;negative
2005;SBSI.O;negative
2006;SBSI.O;negative
2007;SBSI.O;negative
2010;SBSI.O;negative
2011;SBSI.O;negative
2000;CECO.O;negative
2001;CECO.O;negative
2002;CECO.O;negative
2003;CECO.O;negative
2004;CECO.O;negative
2012;CCO;negative
2015;CCO;negative
2016;CCO;negative
2017;CCO;negative
2018;CCO;negative
2011;CCF;negative
2012;CCF;negative
2013;CCF;negative
2012;CCF;negative
2013;CCF;negative
2001;ANF;negative
2002;ANF;negative
2003;ANF;negative
2004;ANF;negative
2011;ANF;negative
2009;BHE;negative
2010;BHE;negative
2011;BHE;negative
2007;BHE;negative
2008;BHE;negative
2008;BHE;negative
2006;BHE;negative
2007;BHE;negative
2008;BHE;negative
2013;BHE;negative
2014;BHE;negative
2011;WAIR.K;negative
2012;WAIR.K;negative
2013;WAIR.K;negative
2014;WAIR.K;negative
2015;WAIR.K;negative
2003;EEQ;negative
2009;MATW.O;negative
2010;MATW.O;negative
2011;MATW.O;negative
2012;MATW.O;negative
2013;MATW.O;negative
2014;MATW.O;negative
2015;MATW.O;negative
2002;RPT;negative
2003;RPT;negative
2004;RPT;negative
2013;RPT;negative
2014;RPT;negative
2015;RPT;negative
2012;RPT;negative
2013;RPT;negative
2014;RPT;negative
2015;RPT;negative
2014;RPT;negative
2015;RPT;negative
2016;RPT;negative
1999;MTSC.O;negative
2000;MTSC.O;negative
2001;MTSC.O;negative
2002;MTSC.O;negative
2003;MTSC.O;negative
2004;MTSC.O;negative
2005;MTSC.O;negative
2007;EFSC.O;negative
2008;EFSC.O;negative
2009;EFSC.O;negative
2010;EFSC.O;negative
2010;EFSC.O;negative
2011;EFSC.O;negative
2018;LRN;negative
2018;LRN;negative
2019;LRN;negative
2004;MSEX.O;negative
2001;MSEX.O;negative
2002;MSEX.O;negative
2003;MSEX.O;negative
2008;MSEX.O;negative
2008;GEF;negative
2009;GEF;negative
2010;GEF;negative
2011;GEF;negative
2009;GEF;negative
2010;GEF;negative
2011;GEF;negative
2012;GEF;negative
2010;GEF;negative
2011;GEF;negative
2012;GEF;negative
2013;GEF;negative
2009;GEF;negative
2010;GEF;negative
2011;GEF;negative
2012;GEF;negative
2013;GEF;negative
2014;GEF;negative
2001;BKE;negative
2002;BKE;negative
2003;BKE;negative
2004;BKE;negative
2004;BKE;negative
2005;BKE;negative
2006;BKE;negative
2013;AINV.O;negative
2014;AINV.O;negative
2019;AIXN.PK;negative
2001;SMP;negative
2002;SMP;negative
2001;SMP;negative
2002;SMP;negative
2003;SMP;negative
2006;SMP;negative
2007;SMP;negative
2008;SMP;negative
2009;SMP;negative
2010;SMP;negative
2014;ADUS.O;negative
2013;ADUS.O;negative
2014;ADUS.O;negative
2015;ADUS.O;negative
2016;ADUS.O;negative
1999;CNXN.O;negative
2000;CNXN.O;negative
2001;CNXN.O;negative
2002;CNXN.O;negative
2006;CTS;negative
2002;ESIO.O;negative
2012;ESIO.O;negative
2013;ESIO.O;negative
2014;ESIO.O;negative
2016;IIPR.K;negative
2013;WMK;negative
2012;WMK;negative
2013;WMK;negative
2014;WMK;negative
2015;WMK;negative
2014;OAS;negative
2015;OAS;negative
2016;OAS;negative
2017;OAS;negative
2018;OAS;negative
2004;NP;negative
2008;NP;negative
2010;RCM.O;negative
2011;RCM.O;negative
2012;RCM.O;negative
2006;JOE;negative
2007;JOE;negative
2008;JOE;negative
2009;JOE;negative
2004;PLUS.O;negative
2005;PLUS.O;negative
2004;PLUS.O;negative
1997;PLUS.O;negative
1998;PLUS.O;negative
1999;PLUS.O;negative
2000;PLUS.O;negative
2001;PLUS.O;negative
2002;PLUS.O;negative
2003;PLUS.O;negative
2004;PLUS.O;negative
2005;PLUS.O;negative
2006;PLUS.O;negative
2007;PLUS.O;negative
2009;PLUS.O;negative
2010;PLUS.O;negative
2011;PLUS.O;negative
2010;PLUS.O;negative
2004;KRA;negative
2010;BCOR.O;negative
2011;BCOR.O;negative
2016;BCOR.O;negative
2011;INGN.O;negative
2012;INGN.O;negative
2009;NTGR.O;negative
2006;PJC;negative
2007;PJC;negative
2008;PJC;negative
2013;BOOT.K;negative
2014;BOOT.K;negative
2010;UVE;negative
2010;UVE;negative
2010;UVE;negative
2011;UVE;negative
2002;SM;negative
2009;QSII.O;negative
2010;QSII.O;negative
2005;INFN.O;negative
2006;INFN.O;negative
2004;GFF;negative
2005;GFF;negative
2018;XON;negative
2010;BPFH.O;negative
2011;BPFH.O;negative
2014;SMCI.O;negative
2015;SMCI.O;negative
2016;SMCI.O;negative
2017;SMCI.O;negative
2001;ODP.O;negative
2002;ODP.O;negative
2003;ODP.O;negative
2004;ODP.O;negative
2006;ODP.O;negative
2007;ODP.O;negative
2010;ODP.O;negative
2006;HEES.O;negative
2015;AHH;negative
2016;AHH;negative
2017;AHH;negative
2018;AHH;negative
2009;MRC;negative
2010;MRC;negative
2001;WMIH.O;negative
2002;WMIH.O;negative
2003;WMIH.O;negative
2004;WMIH.O;negative
2005;WMIH.O;negative
2006;WMIH.O;negative
2002;WMIH.O;negative
2003;WMIH.O;negative
2003;HL;negative
2004;HL;negative
2005;HL;negative
2006;HL;negative
2007;HL;negative
2008;HL;negative
2009;HL;negative
2010;HL;negative
2011;HL;negative
2012;HL;negative
2013;HL;negative
2014;HL;negative
2015;HL;negative
2016;HL;negative
2017;HL;negative
2003;CAL;negative
2004;CAL;negative
2002;ACCO.K;negative
2003;ACCO.K;negative
2004;ACCO.K;negative
2005;ACCO.K;negative
2008;CRY;negative
2016;CRY;negative
2002;DDD;negative
2004;DDD;negative
2005;DDD;negative
2006;DDD;negative
1999;DDD;negative
2002;FOE;negative
2003;FOE;negative
2011;CCS;negative
2012;CCS;negative
2010;MLAB.O;negative
2011;MLAB.O;negative
2012;MLAB.O;negative
2014;AMPH.O;negative
2015;AMPH.O;negative
2016;AMPH.O;negative
2017;AMPH.O;negative
2018;AMPH.O;negative
2003;SAH;negative
2004;SAH;negative
2005;SAH;negative
2011;SAH;negative
2003;FSP;negative
2000;FSP;negative
2018;KFRC.O;negative
2008;STC;negative
2009;STC;negative
2009;CPE;negative
2010;CPE;negative
2002;XOXO.K;negative
2003;XOXO.K;negative
2004;XOXO.K;negative
2014;MJMD.PK;negative
2015;MJMD.PK;negative
2005;SPPI.O;negative
2006;SPPI.O;negative
2007;SPPI.O;negative
2008;SPPI.O;negative
2009;SPPI.O;negative
2013;SPPI.O;negative
2014;SPPI.O;negative
2015;SPPI.O;negative
2016;SPPI.O;negative
2017;SPPI.O;negative
2005;ANIP.O;negative
2006;ANIP.O;negative
2007;ANIP.O;negative
2012;IHRTQ.PK;negative
2018;EVOP.O;negative
2012;REN;negative
2002;AXDX.O;negative
2003;AXDX.O;negative
2002;LORL.O;negative
2016;FIT;negative
2017;FIT;negative
2016;FIT;negative
2012;IRET.K;negative
2013;IRET.K;negative
2014;IRET.K;negative
2012;IRET.K;negative
2013;IRET.K;negative
2015;IRET.K;negative
2016;IRET.K;negative
2004;TLSRP.PK;negative
2005;TLSRP.PK;negative
2006;TLSRP.PK;negative
1999;RRC;negative
2000;RRC;negative
2001;RRC;negative
2002;RRC;negative
2006;RRC;negative
2007;RRC;negative
2008;RRC;negative
2009;RRC;negative
2010;RRC;negative
2005;GBNK.O;negative
2006;GBNK.O;negative
2002;BIG;negative
2003;BIG;negative
2004;BIG;negative
1997;BIG;negative
1998;BIG;negative
2013;CKH;negative
2010;SP.O;negative
2011;SP.O;negative
2012;SP.O;negative
2013;SP.O;negative
2016;SP.O;negative
2017;SP.O;negative
2009;PLAB.O;negative
2010;PLAB.O;negative
2001;KELYA.O;negative
2002;KELYA.O;negative
2003;KELYA.O;negative
2004;KELYA.O;negative
2015;USCR.O;negative
2010;MCS;negative
2011;MCS;negative
2014;CLDT.K;negative
2004;SYX;negative
1999;SYX;negative
2000;SYX;negative
1999;EXTR.O;negative
2000;EXTR.O;negative
2001;EXTR.O;negative
2002;EXTR.O;negative
2003;EXTR.O;negative
2004;EXTR.O;negative
2005;EXTR.O;negative
2006;EXTR.O;negative
2013;TBI;negative
2015;TBI;negative
2005;MGPI.O;negative
2006;MGPI.O;negative
2007;MGPI.O;negative
2007;MGPI.O;negative
2008;MGPI.O;negative
2007;MGPI.O;negative
2008;MGPI.O;negative
2009;MGPI.O;negative
2010;MGPI.O;negative
2010;MGPI.O;negative
2011;MGPI.O;negative
2013;MGPI.O;negative
2014;MGPI.O;negative
2015;MGPI.O;negative
2009;ZUMZ.O;negative
2010;ZUMZ.O;negative
2011;ZUMZ.O;negative
2007;WASH.O;negative
2013;WASH.O;negative
2017;SYBT.O;negative
2004;NANO.O;negative
2005;NANO.O;negative
2004;NANO.O;negative
2000;BRS;negative
2001;BRS;negative
2002;BRS;negative
2003;BRS;negative
2004;BRS;negative
2005;BRS;negative
2008;BRS;negative
2009;BRS;negative
2015;BRS;negative
2016;BRS;negative
2017;BRS;negative
2018;BRS;negative
2010;STAR.K;negative
2011;STAR.K;negative
2012;STAR.K;negative
2014;STAR.K;negative
2013;STAR.K;negative
2014;STAR.K;negative
2015;STAR.K;negative
2013;VSLR.K;negative
2014;VSLR.K;negative
2010;OIS;negative
2011;OIS;negative
2012;OIS;negative
2001;DBD;negative
2002;DBD;negative
2003;DBD;negative
2004;DBD;negative
2005;DBD;negative
2004;DBD;negative
2005;DBD;negative
2003;DBD;negative
2004;DBD;negative
2005;DBD;negative
2006;DBD;negative
2007;DBD;negative
2009;DBD;negative
2010;DBD;negative
2011;DBD;negative
2012;DBD;negative
2016;DBD;negative
2017;DBD;negative
2018;DBD;negative
2018;DBD;negative
2001;GSBC.O;negative
2002;GSBC.O;negative
2003;GSBC.O;negative
2004;GSBC.O;negative
2005;GSBC.O;negative
1998;ANIK.O;negative
1999;ANIK.O;negative
2002;ANIK.O;negative
1998;ANIK.O;negative
1999;ANIK.O;negative
2014;ANIK.O;negative
1998;MBI;negative
1999;MBI;negative
2000;MBI;negative
2001;MBI;negative
2002;MBI;negative
2003;MBI;negative
2004;MBI;negative
2005;MBI;negative
1998;MBI;negative
1999;MBI;negative
2000;MBI;negative
2001;MBI;negative
2002;MBI;negative
2003;MBI;negative
2004;MBI;negative
2011;MBI;negative
2009;MBI;negative
2010;MBI;negative
2011;MBI;negative
2011;MBI;negative
2012;MBI;negative
2017;MBI;negative
2003;LION.O;negative
2010;TUP;negative
2012;TUP;negative
2013;TUP;negative
2009;CNOB.O;negative
2008;QADA.O;negative
2009;QADA.O;negative
2003;QADA.O;negative
2004;QADA.O;negative
2005;QADA.O;negative
2006;QADA.O;negative
2007;QADA.O;negative
2008;QADA.O;negative
2009;QADA.O;negative
2010;QADA.O;negative
2011;QADA.O;negative
2012;QADA.O;negative
2013;QADA.O;negative
2014;QADA.O;negative
2015;QADA.O;negative
2010;GLUU.O;negative
2011;GLUU.O;negative
2012;GLUU.O;negative
2013;GLUU.O;negative
2002;BJRI.O;negative
2003;BJRI.O;negative
2004;BJRI.O;negative
1998;NCS;negative
1999;NCS;negative
2000;NCS;negative
2001;NCS;negative
2003;INTL.O;negative
2004;INTL.O;negative
2009;INTL.O;negative
2009;INTL.O;negative
2010;INTL.O;negative
2011;INTL.O;negative
2012;INTL.O;negative
2013;INTL.O;negative
2012;BRSS.K;negative
2013;BRSS.K;negative
2014;BRSS.K;negative
2013;CJ;negative
2011;MCRI.O;negative
2012;MCRI.O;negative
2013;MCRI.O;negative
2006;TRK;negative
2011;TRK;negative
2016;TRK;negative
2017;TRK;negative
2018;TRK;negative
2016;TRK;negative
2017;TRK;negative
2002;SCSC.O;negative
2003;SCSC.O;negative
2004;SCSC.O;negative
2003;SCSC.O;negative
2004;SCSC.O;negative
2005;SCSC.O;negative
2006;SCSC.O;negative
2011;SCSC.O;negative
2012;SCSC.O;negative
2009;CTBI.O;negative
2007;QEP;negative
2011;QEP;negative
2014;QEP;negative
2015;QEP;negative
2015;CIR;negative
2015;CIR;negative
2008;RGR;negative
2003;RGS;negative
2004;RGS;negative
2011;RGS;negative
2012;RGS;negative
2013;RGS;negative
2014;RGS;negative
2015;RGS;negative
2005;ATRO.O;negative
2006;ATRO.O;negative
2001;HNGR.PK;negative
2002;HNGR.PK;negative
2003;HNGR.PK;negative
2004;HNGR.PK;negative
2010;HNGR.PK;negative
2011;HNGR.PK;negative
2012;HNGR.PK;negative
2009;HNGR.PK;negative
2010;HNGR.PK;negative
2011;HNGR.PK;negative
2010;HNGR.PK;negative
2011;HNGR.PK;negative
2012;HNGR.PK;negative
2013;HNGR.PK;negative
2011;HNGR.PK;negative
2012;HNGR.PK;negative
2013;HNGR.PK;negative
2014;HNGR.PK;negative
2011;PBI;negative
2012;PBI;negative
2012;PBI;negative
2013;PBI;negative
2014;PBI;negative
2014;PBI;negative
2013;PBI;negative
2014;PBI;negative
2015;PBI;negative
2016;PBI;negative
2014;PBI;negative
2015;PBI;negative
2016;PBI;negative
2017;PBI;negative
2000;CONN.O;negative
2001;CONN.O;negative
2002;CONN.O;negative
2003;CONN.O;negative
2008;CONN.O;negative
2009;CONN.O;negative
2010;CONN.O;negative
2009;CONN.O;negative
2010;CONN.O;negative
2011;CONN.O;negative
2013;CONN.O;negative
2014;CONN.O;negative
2008;CONN.O;negative
2009;CONN.O;negative
2010;CONN.O;negative
2011;CONN.O;negative
2017;UVSP.O;negative
2018;UVSP.O;negative
2010;BNFT.O;negative
2011;BNFT.O;negative
2012;BNFT.O;negative
2013;BNFT.O;negative
2003;FRHC.PK;negative
2004;FRHC.PK;negative
2004;FRHC.PK;negative
2005;FRHC.PK;negative
2004;FRHC.PK;negative
2005;FRHC.PK;negative
2006;FRHC.PK;negative
2005;FRHC.PK;negative
2006;FRHC.PK;negative
2007;FRHC.PK;negative
2007;FRHC.PK;negative
2008;FRHC.PK;negative
