year;ric
1999;DTE
2000;DTE
2001;DTE
2002;DTE
2003;DTE
2004;DTE
2005;DTE
2006;DTE
2007;DTE
2010;DTE
2011;DTE
2014;DTE
2015;DTE
1998;SMRT.O
2001;SMRT.O
2002;SMRT.O
2003;SMRT.O
2004;SMRT.O
2005;SMRT.O
2009;SMRT.O
2010;SMRT.O
2011;SMRT.O
2014;SMRT.O
1998;MDU
2001;MDU
2002;MDU
2003;MDU
2004;MDU
2005;MDU
2006;MDU
2013;MDU
2014;MDU
2015;MDU
2011;OMF
2012;OMF
2014;OMF
2015;OMF
2016;OMF
2004;TVC
2005;TVC
2007;TVC
2008;TVC
2009;TVC
2014;TVC
1998;ZION.O
1999;ZION.O
2000;ZION.O
2001;ZION.O
2002;ZION.O
2003;ZION.O
2005;ZION.O
2006;ZION.O
2007;ZION.O
2008;ZION.O
2009;ZION.O
2010;ZION.O
2011;ZION.O
2012;ZION.O
2013;ZION.O
2014;ZION.O
2015;ZION.O
1998;TPC
2000;TPC
2001;TPC
2003;TPC
2004;TPC
2006;TPC
2010;TPC
2011;TPC
2015;TPC
1998;VLO
1999;VLO
2000;VLO
2001;VLO
2002;VLO
2003;VLO
2004;VLO
2005;VLO
2006;VLO
2007;VLO
2008;VLO
2009;VLO
2010;VLO
2011;VLO
2012;VLO
2013;VLO
2014;VLO
2015;VLO
2016;VLO
1998;GILD.O
1999;GILD.O
2000;GILD.O
2001;GILD.O
2002;GILD.O
2003;GILD.O
2004;GILD.O
2005;GILD.O
2007;GILD.O
2008;GILD.O
2011;GILD.O
2012;GILD.O
2013;GILD.O
2015;GILD.O
2016;GILD.O
2000;GPN
2001;GPN
2002;GPN
2003;GPN
2004;GPN
2005;GPN
2008;GPN
2009;GPN
2015;GPN
2004;BR
2005;BR
2007;BR
2008;BR
2015;BR
1999;VC.O
2000;VC.O
2001;VC.O
2002;VC.O
2003;VC.O
2004;VC.O
2005;VC.O
2006;VC.O
2007;VC.O
2008;VC.O
2010;VC.O
2011;VC.O
2012;VC.O
2013;VC.O
2014;VC.O
2003;HUN
2004;HUN
2005;HUN
2006;HUN
2007;HUN
2008;HUN
2009;HUN
2010;HUN
2014;HUN
2015;HUN
2016;HUN
1998;HRC
1999;HRC
2000;HRC
2001;HRC
2002;HRC
2003;HRC
2004;HRC
2005;HRC
2006;HRC
2005;UFS
2006;UFS
2007;UFS
2008;UFS
2010;UFS
2015;UFS
2013;DOOR.K
2014;DOOR.K
1998;UFPI.O
1999;UFPI.O
2000;UFPI.O
2001;UFPI.O
2002;UFPI.O
2003;UFPI.O
2005;UFPI.O
2006;UFPI.O
2007;UFPI.O
2008;UFPI.O
2009;UFPI.O
2010;UFPI.O
2011;UFPI.O
2013;UFPI.O
1998;TDS
1999;TDS
2000;TDS
2001;TDS
2002;TDS
2003;TDS
2004;TDS
2005;TDS
2006;TDS
2007;TDS
2008;TDS
2009;TDS
2010;TDS
2011;TDS
2014;TDS
2015;TDS
2016;TDS
2015;BOJA.O
2014;CWH
2015;CWH
2016;CWH
2000;LCII.K
2001;LCII.K
2004;LCII.K
2005;LCII.K
2007;LCII.K
2010;LCII.K
2011;LCII.K
2015;LCII.K
1998;ATVI.O
1999;ATVI.O
2000;ATVI.O
2003;ATVI.O
2004;ATVI.O
2005;ATVI.O
2007;ATVI.O
2008;ATVI.O
2010;ATVI.O
2011;ATVI.O
2013;ATVI.O
2014;ATVI.O
2015;ATVI.O
1999;FLO
2000;FLO
2001;FLO
2002;FLO
2003;FLO
2005;FLO
2007;FLO
2008;FLO
2012;FLO
2013;FLO
2014;FLO
2015;FLO
2016;FLO
1999;DAR
2000;DAR
2001;DAR
2002;DAR
2003;DAR
2010;DAR
2011;DAR
2014;DAR
2015;DAR
2016;DAR
2004;SAIA.O
2005;SAIA.O
2008;SAIA.O
2014;SAIA.O
2015;SAIA.O
2016;SAIA.O
1998;SAH
1999;SAH
2000;SAH
2001;SAH
2002;SAH
2003;SAH
2004;SAH
2005;SAH
2006;SAH
2007;SAH
2008;SAH
2009;SAH
2010;SAH
2011;SAH
2015;SAH
1998;ITGR.K
1999;ITGR.K
2001;ITGR.K
2003;ITGR.K
2004;ITGR.K
2007;ITGR.K
2008;ITGR.K
2014;ITGR.K
2000;UNFI.O
2001;UNFI.O
2003;UNFI.O
2004;UNFI.O
2005;UNFI.O
2009;UNFI.O
2013;UNFI.O
2014;UNFI.O
1998;URBN.O
1999;URBN.O
2002;URBN.O
2003;URBN.O
1998;STZ
1999;STZ
2000;STZ
2001;STZ
2003;STZ
2005;STZ
2006;STZ
2007;STZ
2008;STZ
2009;STZ
2010;STZ
2011;STZ
2012;STZ
2014;STZ
2003;ENS
2008;ENS
2010;ENS
2011;ENS
2014;ENS
2012;NDLS.O
2014;NDLS.O
2000;IMKTA.O
2001;IMKTA.O
2002;IMKTA.O
2003;IMKTA.O
2004;IMKTA.O
2005;IMKTA.O
2006;IMKTA.O
2007;IMKTA.O
2008;IMKTA.O
2009;IMKTA.O
2010;IMKTA.O
2011;IMKTA.O
2012;IMKTA.O
2014;IMKTA.O
2015;IMKTA.O
1998;LRCX.O
1999;LRCX.O
2004;LRCX.O
2005;LRCX.O
2007;LRCX.O
2008;LRCX.O
2010;LRCX.O
2011;LRCX.O
2012;LRCX.O
2015;LRCX.O
2000;BEN
2001;BEN
2002;BEN
2003;BEN
2004;BEN
2006;BEN
2007;BEN
2008;BEN
2009;BEN
2010;BEN
2012;BEN
1998;UNM
2000;UNM
2001;UNM
2002;UNM
2003;UNM
2004;UNM
2005;UNM
2007;UNM
2008;UNM
2009;UNM
2010;UNM
2011;UNM
2012;UNM
2013;UNM
2014;UNM
2015;UNM
1998;AMWD.O
1999;AMWD.O
2000;AMWD.O
2002;AMWD.O
2003;AMWD.O
2005;AMWD.O
2006;AMWD.O
2012;AMWD.O
2014;AMWD.O
2015;AMWD.O
1998;HSC
1999;HSC
2000;HSC
2001;HSC
2002;HSC
2003;HSC
2004;HSC
2005;HSC
2006;HSC
2009;HSC
2013;HSC
2014;HSC
2015;HSC
2016;HSC
2014;PRTY.K
1998;JNPR.K
1999;JNPR.K
2000;JNPR.K
2001;JNPR.K
2002;JNPR.K
2003;JNPR.K
2004;JNPR.K
2005;JNPR.K
2006;JNPR.K
2007;JNPR.K
2008;JNPR.K
2009;JNPR.K
2010;JNPR.K
2011;JNPR.K
2012;JNPR.K
2013;JNPR.K
2014;JNPR.K
2015;JNPR.K
2016;JNPR.K
2002;LHCG.O
2003;LHCG.O
2004;LHCG.O
2005;LHCG.O
2006;LHCG.O
2007;LHCG.O
2008;LHCG.O
2009;LHCG.O
2010;LHCG.O
2012;LHCG.O
2013;LHCG.O
1998;EA.O
1999;EA.O
2000;EA.O
2001;EA.O
2002;EA.O
2003;EA.O
2006;EA.O
2007;EA.O
2010;EA.O
2011;EA.O
2015;EA.O
2016;EA.O
1998;WY
1999;WY
2000;WY
2001;WY
2002;WY
2003;WY
2004;WY
2005;WY
2006;WY
2007;WY
2008;WY
2009;WY
2010;WY
2011;WY
2012;WY
2013;WY
2014;WY
2015;WY
2016;WY
2006;AFSI.O
2007;AFSI.O
2008;AFSI.O
2009;AFSI.O
2010;AFSI.O
2011;AFSI.O
2012;AFSI.O
2013;AFSI.O
2014;AFSI.O
2015;AFSI.O
1998;USX
1999;USX
2000;USX
2001;USX
2002;USX
2003;USX
2004;USX
2005;USX
1999;BGCP.O
2000;BGCP.O
2001;BGCP.O
2002;BGCP.O
2003;BGCP.O
2004;BGCP.O
2005;BGCP.O
2006;BGCP.O
2007;BGCP.O
2008;BGCP.O
2010;BGCP.O
2011;BGCP.O
2014;BGCP.O
2015;BGCP.O
2016;BGCP.O
1998;CTB
2000;CTB
2001;CTB
2002;CTB
2003;CTB
2004;CTB
2005;CTB
2006;CTB
2007;CTB
2008;CTB
2009;CTB
2010;CTB
2011;CTB
2014;CTB
2015;CTB
2016;CTB
2014;ZTS
2010;TDG
2014;TDG
2015;TDG
1998;AKS
1999;AKS
2000;AKS
2001;AKS
2002;AKS
2003;AKS
2004;AKS
2005;AKS
2006;AKS
2007;AKS
2008;AKS
2009;AKS
2010;AKS
2011;AKS
2012;AKS
2013;AKS
2014;AKS
2015;AKS
2016;AKS
1998;LEN
1999;LEN
2000;LEN
2001;LEN
2002;LEN
2003;LEN
2004;LEN
2005;LEN
2006;LEN
2007;LEN
2008;LEN
2009;LEN
2010;LEN
2011;LEN
2012;LEN
2013;LEN
2014;LEN
2015;LEN
2016;LEN
1998;WCC
1999;WCC
2000;WCC
2001;WCC
2002;WCC
2003;WCC
2004;WCC
2005;WCC
2006;WCC
2007;WCC
2008;WCC
2009;WCC
2010;WCC
2011;WCC
2012;WCC
2013;WCC
2014;WCC
2015;WCC
2016;WCC
2013;BMCH.O
2014;BMCH.O
2015;BMCH.O
1998;HNI
1999;HNI
2004;HNI
2005;HNI
2007;HNI
2008;HNI
2009;HNI
2011;HNI
2012;HNI
2013;HNI
1998;SPTN.O
1999;SPTN.O
2000;SPTN.O
2001;SPTN.O
2002;SPTN.O
2003;SPTN.O
2004;SPTN.O
2005;SPTN.O
2006;SPTN.O
2007;SPTN.O
2008;SPTN.O
2009;SPTN.O
2013;SPTN.O
2014;SPTN.O
2015;SPTN.O
2016;SPTN.O
1998;FDS
2000;FDS
2001;FDS
2003;FDS
2008;FDS
1998;GIII.O
1999;GIII.O
2000;GIII.O
2001;GIII.O
2002;GIII.O
2003;GIII.O
2004;GIII.O
2005;GIII.O
2006;GIII.O
2010;GIII.O
2012;GIII.O
2013;GIII.O
2014;GIII.O
2015;GIII.O
2009;RCM.O
2010;RCM.O
2011;RCM.O
1998;LNC
1999;LNC
2000;LNC
2001;LNC
2002;LNC
2003;LNC
2004;LNC
2005;LNC
2006;LNC
2007;LNC
2008;LNC
2010;LNC
2011;LNC
2012;LNC
2015;LNC
2012;SABR.O
2013;SABR.O
2014;SABR.O
1998;LZB
1999;LZB
2000;LZB
2001;LZB
2002;LZB
2003;LZB
2004;LZB
2005;LZB
2006;LZB
2007;LZB
2008;LZB
2009;LZB
2010;LZB
2011;LZB
2012;LZB
2015;LZB
2016;LZB
2011;CHUY.O
2012;CHUY.O
2013;CHUY.O
2014;CHUY.O
2015;CHUY.O
1998;SCHL.O
1999;SCHL.O
2000;SCHL.O
2001;SCHL.O
2002;SCHL.O
2003;SCHL.O
2004;SCHL.O
2005;SCHL.O
2006;SCHL.O
2007;SCHL.O
2008;SCHL.O
2009;SCHL.O
2010;SCHL.O
2011;SCHL.O
2012;SCHL.O
2013;SCHL.O
2001;BGFV.O
2002;BGFV.O
2003;BGFV.O
2004;BGFV.O
2005;BGFV.O
2006;BGFV.O
2007;BGFV.O
2015;BGFV.O
1998;AMD.O
1999;AMD.O
2000;AMD.O
2001;AMD.O
2002;AMD.O
2003;AMD.O
2004;AMD.O
2005;AMD.O
2006;AMD.O
2007;AMD.O
2008;AMD.O
2009;AMD.O
2010;AMD.O
2011;AMD.O
2012;AMD.O
2013;AMD.O
2014;AMD.O
2015;AMD.O
2016;AMD.O
2003;WCG
2004;WCG
2005;WCG
2006;WCG
2007;WCG
2008;WCG
2009;WCG
2010;WCG
2011;WCG
2015;WCG
2012;CDK.O
2013;CDK.O
1998;SBGI.O
1999;SBGI.O
2000;SBGI.O
2001;SBGI.O
2002;SBGI.O
2003;SBGI.O
2004;SBGI.O
2005;SBGI.O
2006;SBGI.O
2007;SBGI.O
2008;SBGI.O
2009;SBGI.O
2010;SBGI.O
2011;SBGI.O
2012;SBGI.O
2014;SBGI.O
2015;SBGI.O
2000;MDRX.O
2001;MDRX.O
2002;MDRX.O
2011;MDRX.O
2012;MDRX.O
2014;MDRX.O
1998;AXE
1999;AXE
2000;AXE
2001;AXE
2002;AXE
2003;AXE
2004;AXE
2005;AXE
2006;AXE
2007;AXE
2008;AXE
2009;AXE
2010;AXE
2011;AXE
2012;AXE
2013;AXE
2014;AXE
2015;AXE
2016;AXE
2013;VRTV.K
1998;DENN.O
1999;DENN.O
2000;DENN.O
2001;DENN.O
2002;DENN.O
2003;DENN.O
2005;DENN.O
2006;DENN.O
2007;DENN.O
2008;DENN.O
2014;DENN.O
2015;DENN.O
1998;ATGE.K
1999;ATGE.K
2000;ATGE.K
2001;ATGE.K
2002;ATGE.K
2003;ATGE.K
2004;ATGE.K
2005;ATGE.K
2007;ATGE.K
2008;ATGE.K
2010;ATGE.K
2011;ATGE.K
2014;ATGE.K
2015;ATGE.K
2016;ATGE.K
1998;ADSK.O
1999;ADSK.O
2001;ADSK.O
2002;ADSK.O
2004;ADSK.O
2005;ADSK.O
2006;ADSK.O
2007;ADSK.O
2014;ADSK.O
2012;WLK
2015;WLK
2004;LYV
2005;LYV
2006;LYV
2007;LYV
2008;LYV
2009;LYV
2013;LYV
2014;LYV
2015;LYV
1998;BDC
1999;BDC
2001;BDC
2002;BDC
2003;BDC
2004;BDC
2005;BDC
2006;BDC
2007;BDC
2008;BDC
2009;BDC
2010;BDC
2011;BDC
2014;BDC
2015;BDC
1998;CRDb
1999;CRDb
2000;CRDb
2001;CRDb
2002;CRDb
2003;CRDb
2004;CRDb
2005;CRDb
2007;CRDb
2008;CRDb
2011;CRDb
2012;CRDb
1998;CMC
1999;CMC
2000;CMC
2001;CMC
2002;CMC
2003;CMC
2004;CMC
2005;CMC
2007;CMC
2008;CMC
2009;CMC
2010;CMC
2011;CMC
2012;CMC
2013;CMC
2014;CMC
2015;CMC
2016;CMC
1998;ALGN.O
1999;ALGN.O
2000;ALGN.O
2001;ALGN.O
2002;ALGN.O
2003;ALGN.O
2004;ALGN.O
2005;ALGN.O
2006;ALGN.O
2007;ALGN.O
2008;ALGN.O
2009;ALGN.O
2010;ALGN.O
2011;ALGN.O
2012;ALGN.O
2013;ALGN.O
2014;ALGN.O
2015;ALGN.O
2016;ALGN.O
1998;ORI
1999;ORI
2000;ORI
2001;ORI
2002;ORI
2003;ORI
2004;ORI
2005;ORI
2006;ORI
2007;ORI
2008;ORI
2009;ORI
2010;ORI
2011;ORI
2012;ORI
2013;ORI
2014;ORI
2015;ORI
2016;ORI
2011;AVYA.K
2012;AVYA.K
2013;AVYA.K
1998;ARRS.O
1999;ARRS.O
2000;ARRS.O
2001;ARRS.O
2002;ARRS.O
2003;ARRS.O
2004;ARRS.O
2005;ARRS.O
2006;ARRS.O
2007;ARRS.O
2008;ARRS.O
2013;ARRS.O
2014;ARRS.O
1999;FIX
2000;FIX
2001;FIX
2002;FIX
2003;FIX
2004;FIX
2005;FIX
2006;FIX
2007;FIX
2008;FIX
2010;FIX
2011;FIX
2014;FIX
1999;CUB
2000;CUB
2001;CUB
2004;CUB
2005;CUB
2008;CUB
2009;CUB
2010;CUB
2011;CUB
2012;CUB
2015;CUB
2016;CUB
2010;EGL
2011;EGL
2012;EGL
2015;EGL
1998;AEE
1999;AEE
2000;AEE
2001;AEE
2002;AEE
2003;AEE
2004;AEE
2005;AEE
2006;AEE
2007;AEE
2008;AEE
2009;AEE
2010;AEE
2011;AEE
2012;AEE
2014;AEE
2015;AEE
1998;CW
1999;CW
2000;CW
2001;CW
2002;CW
2004;CW
2005;CW
2006;CW
2010;CW
2011;CW
2012;CW
2013;CW
2015;CW
1998;ATI
2002;ATI
2003;ATI
2004;ATI
2005;ATI
2006;ATI
2007;ATI
2008;ATI
2010;ATI
2011;ATI
2012;ATI
2014;UNVR.K
1998;DIOD.O
2000;DIOD.O
2001;DIOD.O
2002;DIOD.O
2003;DIOD.O
2004;DIOD.O
2005;DIOD.O
2006;DIOD.O
2007;DIOD.O
2008;DIOD.O
2010;DIOD.O
2012;DIOD.O
2015;DIOD.O
2014;MOS
2015;MOS
2016;MOS
2003;ETP
2009;ETP
2011;ETP
2013;ETP
2014;ETP
2015;ETP
2016;ETP
1998;BRO
1999;BRO
2000;BRO
2001;BRO
2002;BRO
2003;BRO
2004;BRO
2005;BRO
2006;BRO
2007;BRO
2008;BRO
2009;BRO
2010;BRO
2011;BRO
2012;BRO
2013;BRO
2014;BRO
2015;BRO
2016;BRO
2004;CORE.O
2005;CORE.O
2010;CORE.O
2011;CORE.O
2012;CORE.O
2015;CORE.O
2016;CORE.O
1998;MLM
1999;MLM
2001;MLM
2002;MLM
2003;MLM
2004;MLM
2005;MLM
2006;MLM
2007;MLM
2008;MLM
2009;MLM
2010;MLM
2011;MLM
2012;MLM
2014;MLM
2015;MLM
2016;MLM
2001;SWKS.O
2002;SWKS.O
2005;SWKS.O
2006;SWKS.O
2007;SWKS.O
2008;SWKS.O
2010;SWKS.O
2011;SWKS.O
2013;BLD
2014;BLD
2002;LABL.O
2003;LABL.O
2004;LABL.O
2005;LABL.O
2006;LABL.O
2008;LABL.O
2009;LABL.O
2014;LABL.O
2015;LABL.O
2000;NXST.O
2001;NXST.O
2002;NXST.O
2003;NXST.O
2004;NXST.O
2005;NXST.O
2006;NXST.O
2010;NXST.O
2011;NXST.O
2012;NXST.O
2014;NXST.O
2015;NXST.O
2016;NXST.O
1998;MO
1999;MO
2000;MO
2001;MO
2002;MO
2003;MO
2004;MO
2005;MO
2006;MO
2007;MO
2008;MO
2009;MO
2010;MO
2011;MO
2012;MO
2013;MO
2014;MO
2015;MO
2016;MO
1998;QRVO.O
2003;QRVO.O
2005;QRVO.O
2006;QRVO.O
2007;QRVO.O
2008;QRVO.O
2010;RXN
2011;RXN
2012;RXN
2013;RXN
2014;RXN
2014;SSNC.O
2014;CVGI.O
2015;CVGI.O
2005;ULH.O
2010;ULH.O
2011;ULH.O
2015;ULH.O
1998;INTU.O
1999;INTU.O
2000;INTU.O
2001;INTU.O
2002;INTU.O
2003;INTU.O
2004;INTU.O
2005;INTU.O
2007;INTU.O
2008;INTU.O
2009;INTU.O
2010;INTU.O
2011;INTU.O
2012;INTU.O
2013;INTU.O
2014;INTU.O
2015;INTU.O
2015;WDAY.O
2016;WDAY.O
1999;OII
2000;OII
2001;OII
2003;OII
2010;OII
2012;OII
2013;OII
2014;OII
2000;ECPG.O
2004;ECPG.O
2005;ECPG.O
2006;ECPG.O
2007;ECPG.O
2008;ECPG.O
2009;ECPG.O
2010;ECPG.O
2011;ECPG.O
2012;ECPG.O
2014;ECPG.O
2015;ECPG.O
1998;MTOR.K
1999;MTOR.K
2000;MTOR.K
2001;MTOR.K
2002;MTOR.K
2003;MTOR.K
2004;MTOR.K
2005;MTOR.K
2006;MTOR.K
2007;MTOR.K
2008;MTOR.K
2009;MTOR.K
2011;MTOR.K
2012;MTOR.K
2013;MTOR.K
1998;NI
1999;NI
2000;NI
2001;NI
2002;NI
2003;NI
2004;NI
2005;NI
2006;NI
2007;NI
2008;NI
2009;NI
2010;NI
2011;NI
2012;NI
2014;NI
1998;BIO
1999;BIO
2000;BIO
2001;BIO
2002;BIO
2003;BIO
2004;BIO
2008;BIO
2011;BIO
2012;BIO
2013;BIO
2015;BIO
1998;WEC
1999;WEC
2000;WEC
2001;WEC
2002;WEC
2003;WEC
2004;WEC
2005;WEC
2006;WEC
2007;WEC
2008;WEC
2009;WEC
2012;WEC
2014;WEC
1998;CLX
1999;CLX
2000;CLX
2001;CLX
2002;CLX
2003;CLX
2006;CLX
2007;CLX
2008;CLX
2009;CLX
2012;CLX
2013;CLX
2015;CLX
1998;UGI
1999;UGI
2000;UGI
2001;UGI
2002;UGI
2003;UGI
2004;UGI
2006;UGI
2007;UGI
2010;UGI
2011;UGI
2013;UGI
2014;UGI
2015;UGI
1998;ES
1999;ES
2000;ES
2001;ES
2002;ES
2003;ES
2004;ES
2005;ES
2006;ES
2007;ES
2008;ES
2009;ES
2010;ES
2011;ES
2012;ES
2014;ES
2015;ES
1999;PTEN.O
2000;PTEN.O
2002;PTEN.O
2003;PTEN.O
2005;PTEN.O
2006;PTEN.O
2007;PTEN.O
2008;PTEN.O
2009;PTEN.O
2015;PTEN.O
2016;PTEN.O
1999;GWR
2000;GWR
2001;GWR
2002;GWR
2003;GWR
2004;GWR
2005;GWR
2006;GWR
2007;GWR
2008;GWR
2009;GWR
2010;GWR
2011;GWR
2012;GWR
2013;GWR
2014;GWR
2015;GWR
2016;GWR
2000;ABG
2001;ABG
2002;ABG
2003;ABG
2004;ABG
2005;ABG
2006;ABG
2007;ABG
2008;ABG
2009;ABG
2010;ABG
2011;ABG
2012;ABG
2013;ABG
2014;ABG
2015;ABG
1998;BKS
2001;BKS
2002;BKS
2003;BKS
2004;BKS
2005;BKS
2006;BKS
2007;BKS
2008;BKS
2009;BKS
2010;BKS
2011;BKS
2013;BKS
2014;BKS
2015;BKS
2016;BKS
1998;CNP
1999;CNP
2000;CNP
2001;CNP
2002;CNP
2003;CNP
2007;CNP
2008;CNP
2015;CNP
1998;PSMT.O
1999;PSMT.O
2000;PSMT.O
2001;PSMT.O
2002;PSMT.O
2003;PSMT.O
2006;PSMT.O
2007;PSMT.O
2008;PSMT.O
2009;PSMT.O
2010;PSMT.O
2011;PSMT.O
2013;PSMT.O
2014;PSMT.O
2015;PSMT.O
2016;PSMT.O
1998;VMC
1999;VMC
2000;VMC
2001;VMC
2002;VMC
2003;VMC
2005;VMC
2006;VMC
2008;VMC
2009;VMC
2010;VMC
2014;VMC
2015;VMC
1998;ALLY.K
1999;ALLY.K
2000;ALLY.K
2001;ALLY.K
2002;ALLY.K
2003;ALLY.K
2004;ALLY.K
2005;ALLY.K
2006;ALLY.K
2007;ALLY.K
2008;ALLY.K
2009;ALLY.K
2010;ALLY.K
2011;ALLY.K
2012;ALLY.K
2013;ALLY.K
2014;ALLY.K
2015;ALLY.K
2016;ALLY.K
2011;KN
2012;KN
2013;KN
2014;KN
2015;KN
2016;KN
2008;FLT
2010;FLT
2011;FLT
2014;FLT
2015;FLT
1999;MNRO.O
2000;MNRO.O
2001;MNRO.O
2002;MNRO.O
2003;MNRO.O
2005;MNRO.O
2006;MNRO.O
2007;MNRO.O
2008;MNRO.O
2010;MNRO.O
2011;MNRO.O
2012;MNRO.O
2011;PAH
2013;PAH
2014;PAH
2015;PAH
1999;HAIN.O
2000;HAIN.O
2001;HAIN.O
2002;HAIN.O
2004;HAIN.O
2005;HAIN.O
2007;HAIN.O
2008;HAIN.O
2009;HAIN.O
2010;HAIN.O
2011;HAIN.O
2013;HAIN.O
2014;HAIN.O
2015;HAIN.O
2016;HAIN.O
1998;CMS
1999;CMS
2000;CMS
2001;CMS
2002;CMS
2003;CMS
2004;CMS
2005;CMS
2006;CMS
2007;CMS
2008;CMS
2009;CMS
2010;CMS
2011;CMS
2012;CMS
2013;CMS
2014;CMS
2015;CMS
2016;CMS
1998;ITRI.O
1999;ITRI.O
2000;ITRI.O
2002;ITRI.O
2003;ITRI.O
2007;ITRI.O
2008;ITRI.O
2010;ITRI.O
2011;ITRI.O
2012;ITRI.O
2013;ITRI.O
2014;ITRI.O
2015;ITRI.O
1999;REV
2000;REV
2001;REV
2002;REV
2006;REV
2007;REV
2008;REV
2009;REV
2011;REV
2012;REV
2013;REV
2015;REV
2016;REV
1998;KELYA.O
1999;KELYA.O
2000;KELYA.O
2001;KELYA.O
2002;KELYA.O
2003;KELYA.O
2004;KELYA.O
2005;KELYA.O
2006;KELYA.O
2007;KELYA.O
2008;KELYA.O
2009;KELYA.O
2010;KELYA.O
2011;KELYA.O
2014;KELYA.O
2015;KELYA.O
2016;KELYA.O
1998;MCS
1999;MCS
2000;MCS
2001;MCS
2003;MCS
2004;MCS
2005;MCS
2006;MCS
2011;MCS
2012;MCS
2014;MCS
2015;MCS
2013;W
2000;APU
2001;APU
2002;APU
2003;APU
2004;APU
2005;APU
2010;APU
2012;APU
2014;APU
1998;DHI
2003;DHI
2006;DHI
2007;DHI
2008;DHI
2011;DHI
2012;DHI
2013;DHI
2015;DHI
2016;DHI
1998;WRB
1999;WRB
2000;WRB
2001;WRB
2002;WRB
2003;WRB
2004;WRB
2005;WRB
2006;WRB
2007;WRB
2008;WRB
2009;WRB
2010;WRB
2011;WRB
2012;WRB
2013;WRB
2014;WRB
2015;WRB
2016;WRB
1998;PDCO.O
1999;PDCO.O
2000;PDCO.O
2001;PDCO.O
2004;PDCO.O
2006;PDCO.O
2013;PDCO.O
2014;PDCO.O
2015;TPIC.O
2002;DLA
2003;DLA
2008;DLA
2009;DLA
2013;DLA
2014;DLA
2016;DLA
1998;CMA
1999;CMA
2000;CMA
2001;CMA
2003;CMA
2004;CMA
2005;CMA
2011;CMA
2012;CMA
2013;CMA
2014;CMA
2015;CMA
2016;CMA
1998;MLHR.O
1999;MLHR.O
2002;MLHR.O
2004;MLHR.O
2005;MLHR.O
2008;MLHR.O
2009;MLHR.O
2010;MLHR.O
2011;MLHR.O
2014;MLHR.O
1999;MD
2000;MD
2003;MD
2004;MD
2005;MD
2006;MD
2010;MD
2011;MD
2012;MD
2013;MD
2014;MD
1999;AKAM.O
2000;AKAM.O
2001;AKAM.O
2002;AKAM.O
2003;AKAM.O
2006;AKAM.O
2007;AKAM.O
2011;AKAM.O
2012;AKAM.O
2015;AKAM.O
2016;AKAM.O
1998;KFY
1999;KFY
2000;KFY
2001;KFY
2002;KFY
2003;KFY
2004;KFY
2005;KFY
2006;KFY
2007;KFY
2009;KFY
2010;KFY
2011;KFY
2014;KFY
2015;KFY
2016;KFY
1998;STLD.O
1999;STLD.O
2002;STLD.O
2003;STLD.O
2004;STLD.O
2005;STLD.O
2006;STLD.O
2007;STLD.O
2008;STLD.O
2013;STLD.O
2014;STLD.O
2015;STLD.O
1998;IDXX.O
1999;IDXX.O
2000;IDXX.O
2001;IDXX.O
2002;IDXX.O
2003;IDXX.O
2004;IDXX.O
2005;IDXX.O
2006;IDXX.O
2007;IDXX.O
2008;IDXX.O
2009;IDXX.O
2010;IDXX.O
2011;IDXX.O
2012;IDXX.O
2013;IDXX.O
2014;IDXX.O
2015;IDXX.O
2016;IDXX.O
2001;MANT.O
2002;MANT.O
2003;MANT.O
2004;MANT.O
2005;MANT.O
2006;MANT.O
2010;TOWR.K
2011;TOWR.K
2012;TOWR.K
2013;TOWR.K
2014;TOWR.K
2015;TOWR.K
1998;OCN
1999;OCN
2000;OCN
2001;OCN
2002;OCN
2003;OCN
2004;OCN
2005;OCN
2006;OCN
2007;OCN
2008;OCN
2010;OCN
2011;OCN
2012;OCN
2013;OCN
2015;OCN
2016;OCN
2002;CE
2003;CE
2004;CE
2005;CE
2006;CE
2007;CE
2008;CE
2009;CE
2010;CE
2011;CE
2012;CE
2013;CE
2014;CE
2015;CE
2016;CE
2011;NGHC.O
2012;NGHC.O
2014;NGHC.O
2015;NGHC.O
2016;NGHC.O
1999;NDSN.O
2000;NDSN.O
2001;NDSN.O
2003;NDSN.O
2004;NDSN.O
2005;NDSN.O
2007;NDSN.O
2012;NDSN.O
2013;NDSN.O
2015;NDSN.O
2016;NDSN.O
2001;AEO
2002;AEO
2003;AEO
2004;AEO
2005;AEO
2006;AEO
2007;AEO
2008;AEO
2009;AEO
2010;AEO
2011;AEO
2013;AEO
2014;AEO
1998;CTXS.O
1999;CTXS.O
2000;CTXS.O
2001;CTXS.O
2002;CTXS.O
2003;CTXS.O
2004;CTXS.O
2005;CTXS.O
2006;CTXS.O
2007;CTXS.O
2008;CTXS.O
2009;CTXS.O
2010;CTXS.O
2011;CTXS.O
2012;CTXS.O
2013;CTXS.O
2014;CTXS.O
2015;CTXS.O
2016;CTXS.O
1998;WST
1999;WST
2000;WST
2001;WST
2002;WST
2003;WST
2004;WST
2005;WST
2006;WST
2008;WST
2012;WST
2013;WST
2014;WST
2002;KIRK.O
2003;KIRK.O
2004;KIRK.O
2005;KIRK.O
2008;KIRK.O
2012;KIRK.O
2015;KIRK.O
2016;KIRK.O
1998;BELFA.O
1999;BELFA.O
2001;BELFA.O
2002;BELFA.O
2003;BELFA.O
2006;BELFA.O
